"strain" "block" "eggs" "worms" "males" "background" "rec"
"EEV1401" 5 89 75 0 "EEV1401" "wt"
"EEV1401" 5 56 66 0 "EEV1401" "wt"
"EEV1402" 5 78 81 0 "EEV1402" "wt"
"EEV1402" 5 53 56 0 "EEV1402" "wt"
"EEV1402" 5 69 68 0 "EEV1402" "wt"
"EEV1402" 5 60 72 0 "EEV1402" "wt"
"EEV1402" 5 51 57 0 "EEV1402" "wt"
"EEV1402" 5 79 91 0 "EEV1402" "wt"
"EEV1402" 5 64 73 0 "EEV1402" "wt"
"EEV1402" 5 69 72 0 "EEV1402" "wt"
"EEV1401" 6 45 29 0 "EEV1401" "wt"
"EEV1401" 6 46 47 0 "EEV1401" "wt"
"EEV1401" 6 56 58 0 "EEV1401" "wt"
"EEV1401" 6 40 40 0 "EEV1401" "wt"
"EEV1401" 6 63 56 0 "EEV1401" "wt"
"EEV1401" 6 56 51 0 "EEV1401" "wt"
"EEV1401" 6 65 56 0 "EEV1401" "wt"
"EEV1403" 6 35 37 0 "EEV1401" "mut"
"EEV1403" 6 41 37 0 "EEV1401" "mut"
"EEV1403" 6 54 47 0 "EEV1401" "mut"
"EEV1403" 6 57 48 0 "EEV1401" "mut"
"EEV1403" 6 57 42 0 "EEV1401" "mut"
"EEV1403" 6 46 37 0 "EEV1401" "mut"
"EEV1403" 6 48 43 0 "EEV1401" "mut"
"EEV1403" 6 47 21 0 "EEV1401" "mut"
"EEV1402" 6 73 41 0 "EEV1402" "wt"
"EEV1402" 6 38 41 0 "EEV1402" "wt"
"EEV1402" 6 37 36 0 "EEV1402" "wt"
"EEV1402" 6 45 45 0 "EEV1402" "wt"
"EEV1402" 6 54 50 0 "EEV1402" "wt"
"EEV1402" 6 40 46 0 "EEV1402" "wt"
"EEV1402" 6 16 18 0 "EEV1402" "wt"
"EEV1402" 6 30 32 0 "EEV1402" "wt"
"EEV1404" 6 23 25 0 "EEV1402" "mut"
"EEV1404" 6 34 36 0 "EEV1402" "mut"
"EEV1404" 6 37 38 0 "EEV1402" "mut"
"EEV1404" 6 14 16 0 "EEV1402" "mut"
