"strain" "block" "egg" "worms" "males" "background" "rec"
"103" "EEV1404" 5 47 51 0 "EEV1402" "mut"
"104" "EEV1404" 5 40 49 0 "EEV1402" "mut"
"105" "EEV1404" 5 77 84 0 "EEV1402" "mut"
"106" "EEV1404" 5 69 72 1 "EEV1402" "mut"
"107" "EEV1404" 5 76 86 0 "EEV1402" "mut"
"108" "EEV1401" 5 75 69 0 "EEV1401" "wt"
"109" "EEV1401" 5 15 10 0 "EEV1401" "wt"
"110" "EEV1401" 5 92 78 0 "EEV1401" "wt"
"111" "EEV1401" 5 65 60 0 "EEV1401" "wt"
"112" "EEV1401" 5 84 84 0 "EEV1401" "wt"
"113" "EEV1401" 5 93 78 0 "EEV1401" "wt"
"114" "EEV1401" 5 89 75 0 "EEV1401" "wt"
"115" "EEV1401" 5 56 66 0 "EEV1401" "wt"
"116" "EEV1402" 5 78 81 0 "EEV1402" "wt"
"117" "EEV1402" 5 53 56 0 "EEV1402" "wt"
"118" "EEV1402" 5 69 68 0 "EEV1402" "wt"
"119" "EEV1402" 5 60 72 0 "EEV1402" "wt"
"120" "EEV1402" 5 51 57 0 "EEV1402" "wt"
"121" "EEV1402" 5 79 91 0 "EEV1402" "wt"
"122" "EEV1402" 5 64 73 0 "EEV1402" "wt"
"123" "EEV1402" 5 69 72 0 "EEV1402" "wt"
"124" "EEV1401" 6 45 29 0 "EEV1401" "wt"
"125" "EEV1401" 6 46 47 0 "EEV1401" "wt"
"126" "EEV1401" 6 56 58 0 "EEV1401" "wt"
"127" "EEV1401" 6 40 40 0 "EEV1401" "wt"
"128" "EEV1401" 6 63 56 0 "EEV1401" "wt"
"129" "EEV1401" 6 56 51 0 "EEV1401" "wt"
"130" "EEV1401" 6 65 56 0 "EEV1401" "wt"
"131" "EEV1403" 6 35 37 0 "EEV1401" "mut"
"132" "EEV1403" 6 41 37 0 "EEV1401" "mut"
"133" "EEV1403" 6 54 47 0 "EEV1401" "mut"
"134" "EEV1403" 6 57 48 0 "EEV1401" "mut"
"135" "EEV1403" 6 57 42 0 "EEV1401" "mut"
"136" "EEV1403" 6 46 37 0 "EEV1401" "mut"
"137" "EEV1403" 6 48 43 0 "EEV1401" "mut"
"138" "EEV1403" 6 47 21 0 "EEV1401" "mut"
"139" "EEV1402" 6 73 41 0 "EEV1402" "wt"
"140" "EEV1402" 6 38 41 0 "EEV1402" "wt"
"141" "EEV1402" 6 37 36 0 "EEV1402" "wt"
"142" "EEV1402" 6 45 45 0 "EEV1402" "wt"
"143" "EEV1402" 6 54 50 0 "EEV1402" "wt"
"144" "EEV1402" 6 40 46 0 "EEV1402" "wt"
"145" "EEV1402" 6 16 18 0 "EEV1402" "wt"
"146" "EEV1402" 6 30 32 0 "EEV1402" "wt"
"147" "EEV1404" 6 23 25 0 "EEV1402" "mut"
"148" "EEV1404" 6 34 36 0 "EEV1402" "mut"
"149" "EEV1404" 6 37 38 0 "EEV1402" "mut"
"150" "EEV1404" 6 14 16 0 "EEV1402" "mut"
"151" "EEV1404" 6 33 35 0 "EEV1402" "mut"
"152" "EEV1404" 6 31 31 0 "EEV1402" "mut"
"153" "EEV1404" 6 38 32 0 "EEV1402" "mut"
"154" "EEV1404" 6 36 34 0 "EEV1402" "mut"
"155" "EEV1404" 7 NA 30 1 "EEV1402" "mut"
"156" "EEV1403" 7 NA 50 0 "EEV1401" "mut"
